iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
CMR,CM,821.0,7501.0,7501.0,agolla,,15.184,10.383,3,,,1982.0,0.0,99.0,158,80,,,0.0,0,,,0.0,0,,,3,30065
CMR,CM,819.0,7432.0,7432.0,bafia,,11.23,4.752,3,,,1980.0,0.0,99.0,689,411,,,689.0,476,,,689.0,483,,,3,29141
CMR,CM,827.0,7602.0,7602.0,bai foe,50438.0,9.2124004,4.4748001,3,,,1998.0,,,48,12,,,48.0,34,,,48.0,30,,,3,2578
CMR,CM,827.0,7604.0,7604.0,bai panya,50483.0,9.3274282,4.5345138,1,,,1998.0,,,28,6,,,28.0,19,,,28.0,6,,,3,2583
CMR,CM,827.0,7599.0,7599.0,barombi kang,,9.4575,4.607222,3,,,2010.0,5.0,15.0,162,12,,,162.0,28,,,162.0,18,,,1,31296
CMR,CM,827.0,7599.0,7599.0,barombi kang,50386.0,9.4576998,4.6073999,3,,,1998.0,,,40,4,,,40.0,20,,,40.0,13,,,3,2573
CMR,CM,827.0,7600.0,7600.0,bolifamba,50394.0,9.3048959,4.1715071,1,,,0.0,,,425,14,,,425.0,115,,,425.0,104,,,3,2576
CMR,CM,827.0,7600.0,7600.0,buea,50395.0,9.2632243,4.1559658,1,,,0.0,,,85,5,,,85.0,50,,,85.0,45,,,3,2577
CMR,CM,822.0,7512.0,7512.0,cebec loum b,50399.0,9.75,4.7305999,3,,,2000.0,,,142,1,,,142.0,69,,,142.0,103,,,3,2567
CMR,CM,818.0,7422.0,7422.0,djohong,,14.691,6.834,3,,,1985.0,0.0,99.0,763,352,,,763.0,34,,,763.0,60,,,3,29126
CMR,CM,821.0,7477.0,7477.0,e pri cath djougoumta,10441.0,15.26857,10.09638,3,,,2012.0,,,50,4,,,50.0,0,,,50.0,0,,,1,2614
CMR,CM,821.0,7495.0,7495.0,e an gr 1a mora,10545.0,14.1407948,11.0465171,1,,,2012.0,,,50,1,,,50.0,0,,,50.0,0,,,1,19008
CMR,CM,821.0,7473.0,7473.0,e djiddel,10394.0,14.7533198,10.81632,3,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,2604
CMR,CM,821.0,7477.0,7477.0,e gr 1 ardaf,10440.0,15.27195,10.03109,3,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,2613
