iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,shortest,id,src,dst
MLI,ML,3119.0,30034.0,30034.0,agouni,55484.0,-2.9944999,17.0541,3,,,2004.0,,,69,0,,,69,0,,,69,0,,,2,9344,46161.478637132015,0,0,0
MLI,ML,3115.0,30002.0,30002.0,alasso,55445.0,-8.0240188,14.9229085,1,,,2004.0,,,65,0,,,65,0,,,65,0,,,2,9256,28477.326802407544,1,1,1
MLI,ML,3112.0,29979.0,29979.0,almoustarat,55314.0,0.0725377,17.3613875,1,,,2004.0,,,71,0,,,71,0,,,71,0,,,2,9155,24857.394784613123,2,2,2
MLI,ML,3112.0,29980.0,29980.0,arhabou,55360.0,0.0025,16.1696,3,,,2004.0,,,70,0,,,70,0,,,70,0,,,2,9156,21878.78016638522,3,3,3
MLI,ML,3119.0,30030.0,30030.0,arham,55346.0,-3.3778,16.378201,3,,,2004.0,,,70,0,,,70,0,,,70,0,,,2,9334,40515.41182958982,4,4,4
MLI,ML,3113.0,29982.0,29982.0,babaroto,55296.0,-10.8219,13.8079,3,,,2004.0,,,70,0,,,70,0,,,70,0,,,2,9162,1418.425350539327,5,5,5
MLI,ML,3111.0,29975.0,29975.0,baco dijcoroni,,-8.0107411,12.5953273,1,,,1993.0,6.0,11.0,580,30,,,580,0,,,580,0,,,3,30599,0.0,6,6,64
MLI,ML,3111.0,29976.0,29976.0,badala,55330.0,-7.9846681,12.625425,1,,,2004.0,,,78,0,,,78,0,,,78,0,,,2,9139,1447.3296789164558,7,7,7
MLI,ML,3113.0,29982.0,29982.0,bafoulabe,13336.0,-10.8345647,13.8092603,1,,,2014.0,,,122,0,,,122,0,,,122,0,,,1,9160,1418.425350539327,8,8,8
MLI,ML,3115.0,29999.0,29999.0,baguineda,55378.0,-7.7715529,12.6090319,1,,,2004.0,,,74,4,,,74,1,,,74,0,,,2,9232,10893.105720244355,9,9,9
MLI,ML,3113.0,29986.0,29986.0,balandougou,55404.0,-9.5519961,13.3559918,1,,,2004.0,,,69,2,,,69,0,,,69,0,,,2,9195,10191.95860014036,10,10,10
MLI,ML,3111.0,29973.0,29973.0,bamako,,-7.987999999999999,12.657,3,,,1980.0,1.0,65.0,548,274,,,548,0,,,548,0,,,3,30597,640.9956751918736,11,11,11
MLI,ML,3112.0,29979.0,29979.0,bamba ii,55315.0,-1.4036179,17.0358391,1,,,2004.0,,,70,0,,,70,0,,,70,0,,,2,9150,57406.03553477396,12,12,12
MLI,ML,3113.0,29986.0,29986.0,bamgassikoto,55405.0,-9.2608004,13.3824,3,,,2004.0,,,70,1,,,70,0,,,70,0,,,2,9196,19479.324387217013,13,13,13
MLI,ML,3115.0,29994.0,29994.0,banamba,13337.0,-7.4435441,13.5543249,1,,,2016.0,,,126,0,,,126,0,,,126,0,,,1,9219,27340.758268219975,14,14,14
MLI,ML,3115.0,29998.0,29998.0,banankoro,55376.0,-7.933333,12.466667,1,,,2004.0,,,68,16,,,68,0,,,68,0,,,2,9229,6461.331577601633,15,15,15
MLI,ML,3115.0,30000.0,30000.0,banankoro1,55421.0,-7.7367001,13.7365,3,,,2004.0,,,71,2,,,71,0,,,71,0,,,2,9247,31278.18896112528,16,16,16
MLI,ML,3118.0,30021.0,30021.0,banasso,55369.0,-6.0317998,10.8811,3,,,2004.0,,,66,7,,,66,0,,,66,0,,,2,9312,33025.83888130481,17,17,17
